                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    159,                0.38164,                0.27768,                0.88976,                0.98563,                0.99813,                  0.995,                0.88014,                0.60846,                0.27472,                0.96974,              0.0011455,              0.0011455,              0.0011455
                    160,                0.39615,                0.28475,                0.90255,                0.98311,                0.99796,                  0.995,                0.88198,                0.55963,                0.27294,                0.95249,              0.0011422,              0.0011422,              0.0011422
                    161,                0.40413,                0.28659,                0.90893,                 0.9946,                      1,                  0.995,                 0.8711,                0.60147,                0.27882,                0.96104,              0.0011389,              0.0011389,              0.0011389
                    162,                0.39034,                0.28524,                0.89766,                0.99698,                      1,                  0.995,                0.88375,                0.56059,                0.27418,                0.93612,              0.0011356,              0.0011356,              0.0011356
                    163,                0.40324,                 0.2776,                0.89667,                0.99689,                      1,                  0.995,                0.87026,                0.56947,                0.27782,                0.95541,              0.0011323,              0.0011323,              0.0011323
                    164,                0.38539,                 0.2844,                0.88271,                0.99566,                      1,                  0.995,                0.91719,                0.49668,                0.23887,                 0.9104,               0.001129,               0.001129,               0.001129
                    165,                0.39696,                0.28493,                  0.898,                0.99403,                0.99948,                  0.995,                0.90141,                0.53091,                0.25786,                0.91847,              0.0011257,              0.0011257,              0.0011257
                    166,                0.37629,                0.26707,                0.89045,                 0.9969,                      1,                  0.995,                0.88174,                0.54708,                0.26367,                0.89744,              0.0011224,              0.0011224,              0.0011224
                    167,                0.40213,                0.28175,                0.90599,                0.99128,                      1,                  0.995,                0.88456,                0.53278,                0.24837,                0.89333,              0.0011191,              0.0011191,              0.0011191
                    168,                0.39684,                0.27293,                0.91305,                0.99274,                      1,                  0.995,                0.87802,                0.54918,                0.25054,                0.92447,              0.0011158,              0.0011158,              0.0011158
                    169,                0.38696,                0.27176,                0.88157,                0.99323,                 0.9984,                  0.995,                0.87659,                0.55673,                0.25873,                0.93572,              0.0011125,              0.0011125,              0.0011125
                    170,                0.39662,                0.28234,                0.89451,                0.99594,                      1,                  0.995,                0.88315,                0.55522,                0.26928,                0.93627,              0.0011092,              0.0011092,              0.0011092
                    171,                0.37451,                0.27132,                 0.8905,                0.98734,                      1,                  0.995,                0.89121,                0.54987,                0.25742,                0.91061,              0.0011059,              0.0011059,              0.0011059
                    172,                0.39539,                0.28238,                0.89071,                0.99238,                      1,                  0.995,                0.88149,                0.58401,                0.27099,                0.95288,              0.0011026,              0.0011026,              0.0011026
                    173,                0.37996,                0.27564,                0.89781,                0.99463,                0.97059,                0.99361,                 0.8826,                0.59558,                0.29689,                 0.9555,              0.0010993,              0.0010993,              0.0010993
                    174,                  0.376,                0.27851,                0.89989,                0.99478,                0.97059,                0.99361,                0.87512,                0.55781,                0.28483,                0.94489,               0.001096,               0.001096,               0.001096
                    175,                 0.3961,                0.27816,                0.89269,                0.98771,                0.99817,                  0.995,                0.90641,                0.53886,                0.26263,                0.93173,              0.0010927,              0.0010927,              0.0010927
                    176,                0.39511,                0.27555,                0.88975,                0.99684,                      1,                  0.995,                0.88835,                0.52867,                0.26427,                 0.9124,              0.0010894,              0.0010894,              0.0010894
                    177,                0.40443,                0.27789,                0.89381,                0.99662,                      1,                  0.995,                0.88458,                0.54752,                0.25935,                  0.926,              0.0010861,              0.0010861,              0.0010861
                    178,                0.38767,                0.27504,                0.88637,                0.99647,                      1,                  0.995,                0.90196,                0.53476,                0.26275,                0.91835,              0.0010828,              0.0010828,              0.0010828
                    179,                0.40155,                0.28191,                0.89089,                0.99531,                      1,                  0.995,                0.87855,                0.57987,                0.27447,                0.94266,              0.0010795,              0.0010795,              0.0010795
                    180,                0.38869,                0.26642,                0.87853,                0.99542,                      1,                  0.995,                0.89523,                0.51927,                0.25128,                0.90258,              0.0010762,              0.0010762,              0.0010762
                    181,                0.39091,                0.27272,                0.88936,                0.99618,                      1,                  0.995,                 0.8846,                0.51984,                0.25621,                0.89509,              0.0010729,              0.0010729,              0.0010729
                    182,                0.36592,                0.26314,                0.88508,                0.99605,                      1,                  0.995,                0.89499,                0.49176,                0.24489,                0.88136,              0.0010696,              0.0010696,              0.0010696
                    183,                0.36766,                0.26188,                0.88036,                0.98451,                0.99835,                  0.995,                0.87032,                0.53896,                0.26853,                0.93259,              0.0010663,              0.0010663,              0.0010663
                    184,                0.39456,                0.27486,                0.90238,                0.99005,                      1,                  0.995,                0.86467,                0.53581,                0.26649,                0.93707,               0.001063,               0.001063,               0.001063
                    185,                0.38182,                0.27418,                0.89817,                0.99672,                      1,                  0.995,                0.86569,                0.55809,                0.27426,                0.94733,              0.0010597,              0.0010597,              0.0010597
                    186,                0.38501,                0.26841,                0.89107,                0.99353,                      1,                  0.995,                0.86875,                0.56547,                0.27308,                0.97641,              0.0010564,              0.0010564,              0.0010564
                    187,                0.37155,                 0.2592,                0.89246,                0.99627,                      1,                  0.995,                0.86295,                 0.6086,                0.26814,                 1.0096,              0.0010531,              0.0010531,              0.0010531
                    188,                0.36975,                0.25757,                0.88859,                0.99452,                      1,                  0.995,                 0.8575,                0.57625,                0.25912,                0.98471,              0.0010498,              0.0010498,              0.0010498
                    189,                0.36932,                 0.2552,                 0.8862,                0.99483,                      1,                  0.995,                0.87454,                0.59249,                0.25625,                 0.9834,              0.0010465,              0.0010465,              0.0010465
                    190,                0.37866,                0.26946,                0.88792,                0.99561,                      1,                  0.995,                0.86224,                0.61629,                0.26522,                 1.0177,              0.0010432,              0.0010432,              0.0010432
                    191,                0.37476,                0.26882,                0.88775,                0.99338,                      1,                  0.995,                0.86166,                0.58313,                0.27948,                0.96949,              0.0010399,              0.0010399,              0.0010399
                    192,                0.37617,                0.26112,                 0.9014,                0.99531,                      1,                  0.995,                0.86296,                0.57841,                0.26965,                 0.9551,              0.0010366,              0.0010366,              0.0010366
                    193,                0.36713,                0.26184,                0.87528,                0.99703,                      1,                  0.995,                0.88531,                0.54885,                0.26598,                0.90814,              0.0010333,              0.0010333,              0.0010333
                    194,                0.38072,                0.27159,                0.88906,                0.99639,                      1,                  0.995,                0.89797,                0.53216,                0.24117,                0.89641,                0.00103,                0.00103,                0.00103
                    195,                0.37038,                0.26401,                0.88438,                0.99613,                      1,                  0.995,                0.88748,                0.56479,                0.25669,                0.91833,              0.0010267,              0.0010267,              0.0010267
                    196,                0.37481,                0.27097,                0.88899,                0.99673,                      1,                  0.995,                0.89403,                0.56202,                0.26479,                0.94786,              0.0010234,              0.0010234,              0.0010234
                    197,                0.37333,                0.25948,                0.89472,                0.99794,                      1,                  0.995,                0.87503,                0.57264,                0.25335,                0.96426,              0.0010201,              0.0010201,              0.0010201
                    198,                 0.3645,                 0.2659,                0.89117,                0.99619,                      1,                  0.995,                0.86357,                0.57192,                0.24754,                0.96746,              0.0010168,              0.0010168,              0.0010168
                    199,                0.36861,                0.26499,                0.90081,                0.99268,                      1,                  0.995,                 0.8698,                0.54652,                0.23725,                0.95028,              0.0010135,              0.0010135,              0.0010135
                    200,                0.35884,                0.25152,                0.89123,                0.99045,                      1,                  0.995,                0.88282,                 0.5439,                0.24856,                0.92802,              0.0010102,              0.0010102,              0.0010102
                    201,                0.36425,                0.25189,                0.89492,                0.99314,                      1,                  0.995,                0.90149,                 0.5227,                0.24576,                 0.9032,              0.0010069,              0.0010069,              0.0010069
                    202,                0.37401,                0.26378,                0.88466,                0.99226,                      1,                  0.995,                0.88608,                0.53285,                0.23679,                0.91764,              0.0010036,              0.0010036,              0.0010036
                    203,                0.37151,                0.25565,                 0.8888,                0.99466,                      1,                  0.995,                0.88842,                0.52822,                0.24309,                0.91913,              0.0010003,              0.0010003,              0.0010003
                    204,                0.38438,                0.25968,                0.89689,                0.99566,                      1,                  0.995,                  0.892,                 0.5426,                0.24423,                0.92426,             0.00099697,             0.00099697,             0.00099697
                    205,                0.39036,                0.26691,                0.89792,                0.99465,                      1,                  0.995,                0.90022,                0.51911,                0.23804,                0.91658,             0.00099367,             0.00099367,             0.00099367
                    206,                0.35856,                0.25222,                0.88936,                0.99492,                      1,                  0.995,                0.88666,                0.54047,                0.25319,                0.93372,             0.00099036,             0.00099036,             0.00099036
                    207,                0.37693,                0.26131,                0.91219,                 0.9961,                      1,                  0.995,                0.89311,                0.50517,                0.23828,                0.92587,             0.00098706,             0.00098706,             0.00098706
                    208,                 0.3768,                0.26588,                0.89637,                0.99563,                      1,                  0.995,                0.86826,                0.57231,                0.24831,                0.96065,             0.00098376,             0.00098376,             0.00098376
                    209,                0.37333,                0.25629,                0.89203,                0.99602,                      1,                  0.995,                0.88575,                0.57566,                0.24793,                0.96742,             0.00098046,             0.00098046,             0.00098046
                    210,                 0.3823,                0.26796,                0.89667,                0.99596,                      1,                  0.995,                0.87803,                0.57397,                0.23602,                 0.9689,             0.00097716,             0.00097716,             0.00097716
                    211,                 0.3506,                0.25545,                0.87772,                0.99519,                      1,                  0.995,                0.89567,                0.53967,                 0.2426,                 0.9431,             0.00097386,             0.00097386,             0.00097386
                    212,                0.35507,                0.25775,                0.87458,                0.99485,                      1,                  0.995,                0.87445,                0.56895,                0.24902,                0.95675,             0.00097056,             0.00097056,             0.00097056
                    213,                0.35857,                0.24544,                 0.8827,                 0.9944,                      1,                  0.995,                 0.8768,                0.57083,                0.25792,                0.94961,             0.00096726,             0.00096726,             0.00096726
                    214,                0.34797,                0.25392,                0.87934,                0.99469,                      1,                  0.995,                0.89154,                0.54815,                0.24348,                0.93884,             0.00096396,             0.00096396,             0.00096396
                    215,                 0.3595,                0.25041,                0.89176,                0.99315,                      1,                  0.995,                0.88851,                0.53762,                0.24899,                0.92296,             0.00096066,             0.00096066,             0.00096066
                    216,                0.35771,                0.26432,                0.89229,                0.98825,                0.99413,                  0.995,                0.88401,                0.56102,                0.25271,                0.95544,             0.00095736,             0.00095736,             0.00095736
                    217,                0.38117,                0.26948,                0.89516,                 0.9929,                      1,                  0.995,                0.87982,                0.56386,                0.25456,                0.96908,             0.00095406,             0.00095406,             0.00095406
                    218,                0.35076,                0.25495,                0.88604,                0.99545,                      1,                  0.995,                0.87678,                0.54645,                0.24728,                 0.9538,             0.00095076,             0.00095076,             0.00095076
                    219,                0.36492,                0.25762,                0.87463,                0.99428,                      1,                  0.995,                0.88403,                 0.5328,                0.23509,                0.93931,             0.00094746,             0.00094746,             0.00094746
                    220,                0.33804,                0.24737,                0.87514,                0.99361,                      1,                  0.995,                0.88827,                 0.5309,                0.22446,                0.91952,             0.00094416,             0.00094416,             0.00094416
                    221,                0.36411,                0.25483,                0.89364,                0.99333,                      1,                  0.995,                0.90684,                0.50821,                0.23275,                0.87946,             0.00094085,             0.00094085,             0.00094085
                    222,                0.34309,                0.24711,                0.87375,                0.99472,                      1,                  0.995,                0.90181,                0.52384,                0.23186,                0.91718,             0.00093755,             0.00093755,             0.00093755
                    223,                0.34752,                0.24921,                0.86349,                0.99571,                      1,                  0.995,                0.88587,                0.54905,                0.24126,                0.93937,             0.00093425,             0.00093425,             0.00093425
                    224,                0.33312,                0.23663,                0.88094,                0.99572,                      1,                  0.995,                0.88733,                0.54322,                0.24327,                0.94701,             0.00093095,             0.00093095,             0.00093095
                    225,                0.34249,                 0.2462,                 0.8695,                 0.9956,                      1,                  0.995,                0.88769,                0.57008,                0.25855,                0.96648,             0.00092765,             0.00092765,             0.00092765
                    226,                0.35444,                0.24876,                0.88329,                0.99533,                      1,                  0.995,                 0.8761,                0.56064,                0.25663,                0.96582,             0.00092435,             0.00092435,             0.00092435
                    227,                0.36298,                0.25168,                0.88311,                0.99604,                      1,                  0.995,                0.87708,                0.55686,                0.25716,                0.96832,             0.00092105,             0.00092105,             0.00092105
                    228,                0.34167,                0.24073,                 0.8807,                0.99563,                      1,                  0.995,                0.88165,                0.52732,                0.25799,                0.94396,             0.00091775,             0.00091775,             0.00091775
                    229,                0.35249,                0.25059,                0.89064,                 0.9971,                      1,                  0.995,                0.88496,                0.52522,                0.23631,                0.93809,             0.00091445,             0.00091445,             0.00091445
                    230,                0.35944,                0.25338,                0.88786,                0.99581,                      1,                  0.995,                0.90794,                0.50788,                0.23638,                0.93059,             0.00091115,             0.00091115,             0.00091115
                    231,                0.35983,                0.25816,                0.88699,                0.99565,                      1,                  0.995,                0.89378,                0.50382,                0.23634,                0.92837,             0.00090785,             0.00090785,             0.00090785
                    232,                0.33843,                0.23894,                 0.8732,                 0.9956,                      1,                  0.995,                0.89763,                0.52428,                0.25121,                0.94985,             0.00090455,             0.00090455,             0.00090455
                    233,                0.36018,                0.25537,                0.87748,                0.99625,                      1,                  0.995,                 0.9051,                0.51986,                0.23409,                0.94628,             0.00090125,             0.00090125,             0.00090125
                    234,                0.33906,                0.24337,                0.86753,                0.99606,                      1,                  0.995,                0.89445,                0.52466,                0.23992,                0.94031,             0.00089795,             0.00089795,             0.00089795
                    235,                 0.3473,                0.24564,                0.88367,                0.99671,                      1,                  0.995,                0.89408,                0.52064,                0.23958,                0.93265,             0.00089465,             0.00089465,             0.00089465
                    236,                 0.3542,                0.24814,                 0.8843,                0.99531,                      1,                  0.995,                0.89611,                0.55052,                0.23978,                 0.9434,             0.00089134,             0.00089134,             0.00089134
                    237,                0.33767,                0.23319,                 0.8797,                0.99461,                      1,                  0.995,                0.88476,                0.52196,                0.23301,                0.93231,             0.00088804,             0.00088804,             0.00088804
                    238,                0.36318,                0.25781,                0.88925,                0.99684,                      1,                  0.995,                0.88165,                0.53682,                0.23634,                0.93016,             0.00088474,             0.00088474,             0.00088474
                    239,                0.34454,                0.24733,                0.89307,                0.99623,                      1,                  0.995,                0.88232,                0.53773,                0.24388,                0.93229,             0.00088144,             0.00088144,             0.00088144
                    240,                0.34344,                0.24084,                0.87738,                 0.9955,                      1,                  0.995,                0.88003,                0.56405,                0.24443,                0.94358,             0.00087814,             0.00087814,             0.00087814
                    241,                0.35082,                0.25168,                  0.883,                0.99655,                      1,                  0.995,                0.89488,                0.53433,                0.25215,                0.93743,             0.00087484,             0.00087484,             0.00087484
                    242,                0.34728,                0.24788,                0.88127,                0.99624,                      1,                  0.995,                0.88898,                0.53286,                0.23983,                0.93285,             0.00087154,             0.00087154,             0.00087154
                    243,                0.35287,                0.25223,                0.87613,                0.99587,                      1,                  0.995,                0.89479,                0.53356,                0.22994,                 0.9333,             0.00086824,             0.00086824,             0.00086824
                    244,                0.34427,                0.24596,                0.88601,                 0.9961,                      1,                  0.995,                0.88579,                0.54645,                0.23556,                0.94413,             0.00086494,             0.00086494,             0.00086494
                    245,                0.31993,                0.24025,                0.86943,                  0.996,                      1,                  0.995,                 0.8955,                0.55425,                0.22373,                0.95188,             0.00086164,             0.00086164,             0.00086164
                    246,                0.34323,                0.24246,                0.88198,                0.99632,                      1,                  0.995,                0.88671,                0.54742,                0.23697,                 0.9513,             0.00085834,             0.00085834,             0.00085834
                    247,                0.34155,                0.25046,                0.87593,                0.99625,                      1,                  0.995,                0.87617,                0.56597,                 0.2379,                0.96283,             0.00085504,             0.00085504,             0.00085504
                    248,                0.34985,                0.24312,                0.87684,                0.99547,                      1,                  0.995,                0.89323,                0.53604,                0.22212,                0.94474,             0.00085174,             0.00085174,             0.00085174
                    249,                0.34062,                0.23549,                0.87738,                0.99603,                      1,                  0.995,                0.89552,                0.53353,                0.21782,                0.93409,             0.00084844,             0.00084844,             0.00084844
                    250,                0.32365,                0.23103,                0.87045,                0.99588,                      1,                  0.995,                  0.902,                0.52705,                0.22331,                 0.9369,             0.00084514,             0.00084514,             0.00084514
                    251,                0.34049,                0.23254,                0.87606,                 0.9954,                      1,                  0.995,                 0.8963,                0.54387,                0.22968,                0.94667,             0.00084184,             0.00084184,             0.00084184
                    252,                0.34336,                0.25009,                0.87241,                0.99415,                      1,                  0.995,                0.89343,                0.53977,                0.23288,                0.93911,             0.00083853,             0.00083853,             0.00083853
                    253,                0.33907,                 0.2368,                0.86492,                0.99233,                      1,                  0.995,                0.89683,                0.52622,                0.22501,                0.93192,             0.00083523,             0.00083523,             0.00083523
                    254,                 0.3289,                0.23387,                0.87557,                0.99129,                      1,                  0.995,                 0.9025,                0.51005,                0.22266,                0.92509,             0.00083193,             0.00083193,             0.00083193
                    255,                0.33928,                0.24436,                0.87775,                0.99371,                      1,                  0.995,                0.89878,                0.51652,                0.21728,                0.92581,             0.00082863,             0.00082863,             0.00082863
                    256,                0.33687,                0.23438,                0.87914,                0.99571,                      1,                  0.995,                0.87636,                0.55333,                0.25148,                0.94898,             0.00082533,             0.00082533,             0.00082533
                    257,                0.32771,                 0.2338,                0.87222,                0.99619,                      1,                  0.995,                0.86959,                0.56241,                0.25212,                0.95186,             0.00082203,             0.00082203,             0.00082203
                    258,                0.32385,                0.22583,                0.87219,                0.99625,                      1,                  0.995,                0.88592,                0.56811,                0.25226,                0.96547,             0.00081873,             0.00081873,             0.00081873
                    259,                0.33549,                0.24052,                0.87581,                0.99589,                      1,                  0.995,                0.88748,                0.57223,                  0.248,                0.96204,             0.00081543,             0.00081543,             0.00081543
                    260,                0.33115,                0.23426,                0.86894,                0.99642,                      1,                  0.995,                0.88492,                0.54423,                0.24339,                0.94645,             0.00081213,             0.00081213,             0.00081213
                    261,                0.33438,                0.24282,                0.87741,                0.99629,                      1,                  0.995,                0.88922,                0.54439,                0.24118,                0.95677,             0.00080883,             0.00080883,             0.00080883
                    262,                 0.3179,                 0.2341,                0.86874,                0.99675,                      1,                  0.995,                0.90188,                0.53222,                0.23797,                  0.945,             0.00080553,             0.00080553,             0.00080553
                    263,                0.32298,                0.22936,                0.86473,                0.99657,                      1,                  0.995,                0.90598,                0.52821,                0.24725,                0.94409,             0.00080223,             0.00080223,             0.00080223
                    264,                0.33117,                 0.2386,                0.87915,                0.99584,                      1,                  0.995,                0.89003,                0.52319,                0.24284,                0.94198,             0.00079893,             0.00079893,             0.00079893
